站名,经度,维度
东方红,133.0971409,46.21228152
绥阳,130.9011193,44.42777345
绥西,130.8349418,44.44667187
太岭,130.6848659,44.56530384
东二道河,134.128816,47.69328446
抚远,134.40861,48.35213551
寒葱沟,134.1639625,47.97821697
洪河,133.5279903,47.5878564
前锋,133.8951776,47.60877935
双龙山,132.5044763,47.31570839
二道岗,131.8722932,47.09909904
富锦,132.0533306,47.24412646
向阳川,132.3435534,47.31437285
富海,124.8558903,47.87293031
冯屯,124.1377582,47.47167313
塔哈,124.244481,47.56463174
二道湾,124.5528348,47.96722565
哈川,124.4424631,47.74200797
群力,124.3202471,47.62481946
小榆树,124.4765593,47.87360362
中和,124.3887814,47.68619078
富裕,124.4671218,47.80352899
阿城,127.0026647,45.55650339
平山,127.4111058,45.32825459
小岭,127.3287932,45.33906226
亚沟,127.0824233,45.48778978
玉泉,127.1687654,45.42229613
滨江,126.6626402,45.7816748
呼兰,126.6528516,46.00419559
白奎堡,127.0108494,46.37658634
康金井,126.8235548,46.20240205
徐家,126.6499464,45.91557681
沈家,126.7775234,46.10248075
石人城,126.9028791,46.30484867
哈尔滨西,126.5844437,45.71280579
哈尔滨,126.638843,45.76694434
平房,126.681934,45.59144127
对青山,126.3517256,45.93712571
万乐,126.4714187,45.89113793
庙台子,126.5745603,45.83628643
新松浦,126.6719967,45.84713445
孙家,126.6895633,45.70131786
王岗,126.5512831,45.67641208
新香坊,126.7744566,45.71773552
东门,126.7227338,45.74602603
香坊,126.6859557,45.72713376
王兆屯,126.6635979,45.74187862
成高子,126.8432533,45.70557112
长汀镇,128.9415352,44.4726746
柴河,129.6934064,44.77355553
海林,129.3946147,44.57324539
敖头,129.275237,44.53800446
横道河子,129.0815572,44.81984658
拉古,129.5044471,44.57133378
治山,128.9954603,44.86017528
山市,129.1082638,44.5847004
青岭子,129.0752712,44.64502984
宝泉岭,130.535437,47.44209968
鹤北,130.4773678,47.54813066
鹤岗,130.2906884,47.34645636
